set,question,exercise,topic,chatgpt,copilot,gemini,answer
2021dec,1,1,3,2,4,5,2
2021dec,2,1,3,1,4,2,1
2021dec,3,1,3,4,4,3,4
2021dec,4,2,1,2,0,2,3
2021dec,5,2,7,3,3,3,3
2021dec,6,2,2,4,2,1,1
2021dec,7,3,2,3,3,0,3
2021dec,8,4,5,1,1,1,1
2021dec,9,4,5,1,3,3,3
2021dec,10,4,5,1,3,3,1
2021dec,11,4,4,2,2,2,2
2021dec,12,4,6,2,3,3,3
2021dec,13,5,3,4,0,0,5
2021dec,14,5,3,1,0,0,5
2021dec,15,6,1,1,5,5,1
2021dec,16,6,4,1,0,1,1
2021dec,17,6,3,3,3,3,3
2021dec,18,7,8,5,0,5,5
2021dec,19,7,8,3,1,0,1
2021dec,20,7,8,1,2,0,3
2021dec,21,8,5,4,4,4,4
2021dec,22,9,8,4,4,3,4
2021dec,23,9,8,2,5,0,2
2021dec,24,10,7,1,0,4,1
2021dec,25,10,7,3,1,0,5
2021dec,26,10,7,2,2,4,4
2021dec,27,10,7,2,0,4,2
2021dec,28,10,7,2,0,2,1
2021dec,29,11,3,3,3,3,4
2021dec,30,11,3,3,3,1,3
